BM25,32
SSS.SSS,87
SSn.SSn,109
nSS.nSS,112
nSn.nSn,165
lSS.lSS,113
lSn.lSn,94
bSS.bSS,190
bSn.bSn,135
SnS.SnS,141
Snn.Snn,178
nnS.nnS,156
nnn.nnn,207
lnS.lnS,171
lnn.lnn,163
bnS.bnS,226
bnn.bnn,179
StS.StS,83
Stn.Stn,85
ntS.ntS,105
ntn.ntn,143
ltS.ltS,106
ltn.ltn,79
btS.btS,178
btn.btn,132
SpS.SpS,86
Spn.Spn,80
npS.npS,100
npn.npn,137
lpS.lpS,108
lpn.lpn,72
bpS.bpS,175
bpn.bpn,131
Okapi_k1.0_b0.2,42
Okapi_k1.0_b0.3,38
Okapi_k1.0_b0.4,35
Okapi_k1.0_b0.5,33
Okapi_k1.0_b0.6,31
Okapi_k1.0_b0.7,31
Okapi_k1.0_b0.8,35
Okapi_k1.0_b0.9,41
Okapi_k1.1_b0.2,42
Okapi_k1.1_b0.3,37
Okapi_k1.1_b0.4,34
Okapi_k1.1_b0.5,33
Okapi_k1.1_b0.6,31
Okapi_k1.1_b0.7,31
Okapi_k1.1_b0.8,34
Okapi_k1.1_b0.9,42
Okapi_k1.2_b0.2,42
Okapi_k1.2_b0.3,36
Okapi_k1.2_b0.4,33
Okapi_k1.2_b0.5,32
Okapi_k1.2_b0.6,30
Okapi_k1.2_b0.7,33
Okapi_k1.2_b0.8,36
Okapi_k1.2_b0.9,43
Okapi_k1.3_b0.2,42
Okapi_k1.3_b0.3,36
Okapi_k1.3_b0.4,34
Okapi_k1.3_b0.5,32
Okapi_k1.3_b0.6,31
Okapi_k1.3_b0.7,35
Okapi_k1.3_b0.8,37
Okapi_k1.3_b0.9,42
Okapi_k1.4_b0.2,41
Okapi_k1.4_b0.3,34
Okapi_k1.4_b0.4,34
Okapi_k1.4_b0.5,31
Okapi_k1.4_b0.6,30
Okapi_k1.4_b0.7,36
Okapi_k1.4_b0.8,37
Okapi_k1.4_b0.9,42
Okapi_k1.5_b0.2,42
Okapi_k1.5_b0.3,34
Okapi_k1.5_b0.4,34
Okapi_k1.5_b0.5,31
Okapi_k1.5_b0.6,32
Okapi_k1.5_b0.7,36
Okapi_k1.5_b0.8,38
Okapi_k1.5_b0.9,42
Okapi_k1.6_b0.2,43
Okapi_k1.6_b0.3,34
Okapi_k1.6_b0.4,34
Okapi_k1.6_b0.5,29
Okapi_k1.6_b0.6,32
Okapi_k1.6_b0.7,35
Okapi_k1.6_b0.8,36
Okapi_k1.6_b0.9,43
Okapi_k1.7_b0.2,42
Okapi_k1.7_b0.3,34
Okapi_k1.7_b0.4,30
Okapi_k1.7_b0.5,28
Okapi_k1.7_b0.6,32
Okapi_k1.7_b0.7,34
Okapi_k1.7_b0.8,35
Okapi_k1.7_b0.9,41
Okapi_k1.8_b0.2,41
Okapi_k1.8_b0.3,34
Okapi_k1.8_b0.4,30
Okapi_k1.8_b0.5,28
Okapi_k1.8_b0.6,32
Okapi_k1.8_b0.7,35
Okapi_k1.8_b0.8,33
Okapi_k1.8_b0.9,41
Okapi_k1.9_b0.2,41
Okapi_k1.9_b0.3,34
Okapi_k1.9_b0.4,30
Okapi_k1.9_b0.5,27
Okapi_k1.9_b0.6,33
Okapi_k1.9_b0.7,35
Okapi_k1.9_b0.8,34
Okapi_k1.9_b0.9,42
Okapi_k2.0_b0.2,40
Okapi_k2.0_b0.3,33
Okapi_k2.0_b0.4,29
Okapi_k2.0_b0.5,31
Okapi_k2.0_b0.6,33
Okapi_k2.0_b0.7,34
Okapi_k2.0_b0.8,34
Okapi_k2.0_b0.9,42
Okapi_k2.1_b0.2,41
Okapi_k2.1_b0.3,32
Okapi_k2.1_b0.4,29
Okapi_k2.1_b0.5,31
Okapi_k2.1_b0.6,33
Okapi_k2.1_b0.7,34
Okapi_k2.1_b0.8,34
Okapi_k2.1_b0.9,42
Okapi_k2.2_b0.2,41
Okapi_k2.2_b0.3,31
Okapi_k2.2_b0.4,29
Okapi_k2.2_b0.5,32
Okapi_k2.2_b0.6,32
Okapi_k2.2_b0.7,35
Okapi_k2.2_b0.8,35
Okapi_k2.2_b0.9,44
Okapi_k2.3_b0.2,42
Okapi_k2.3_b0.3,34
Okapi_k2.3_b0.4,31
Okapi_k2.3_b0.5,33
Okapi_k2.3_b0.6,33
Okapi_k2.3_b0.7,36
Okapi_k2.3_b0.8,37
Okapi_k2.3_b0.9,46
Okapi_k2.4_b0.2,43
Okapi_k2.4_b0.3,34
Okapi_k2.4_b0.4,31
Okapi_k2.4_b0.5,32
Okapi_k2.4_b0.6,34
Okapi_k2.4_b0.7,36
Okapi_k2.4_b0.8,38
Okapi_k2.4_b0.9,47
LM_i0.0,249
LM_i0.2,40
LM_i0.4,33
LM_i0.6,38
LM_i0.8,43
LM_i1.0,249
